,Time,Speech,,Observation by Code,Common words,General Observation
,,,,,"During - gauze, irrigation bottle, syringe",
,,,,,,
160746,,,,,,
,0:23:51,Yeah let’s just put the Miami J on,before,,,
,0:24:36,"I I put maxwell face as well yeah, as well as temporal bone cuts.",after,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
160649,,,,,,
254,(0:27:04),We're just putting gauze on the thing,,,,
,,,,,,
160621,,,,,,
,0:20:36,"Sir, do you prefer roll tapes?",Before,,,
,0:20:38,Adhesive duck.,Before,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Transcript/Line,Time,Speech,,,,
,,,,,,
161208,,,,,,
144,(0:16:02),Do you want to ace wrap or?,,,,
145,(0:16:03),Yeah lets.,,,,
,,,,,,
157,(0:17:13),So don't dress it if.,,,,
158,(0:17:29),Umm what should I do ahh.,,,,
,,,,,,
162,(0:17:57),Please don't wrap it yet.,,,,
163,(0:18:06),Can we [choose] portables the arm lower.,,,,
165,(0:18:37),So my concern is that just if he was [...].,,,,
166,(0:18:41),So if they So if we get just a quick new view here they may say yeah let's stabilize it and do whatever.,,,,
,,,,,,
,,,,,,
170122,,,,,,
258,0:15:20,Can I get get gauze please? I might have to wrap around uh,,,,
,,,,,,
,,,,,,
170335,,,,,,
132,0:16:58,"I think we need some blanch dressing, uh white",,,,
,,,,,,
,,,,,,
160129,,,,,,
84,0:16:05,Yea I need some gauze,,,,
86,0:16:45,I need help um wrapping it,,,,
,,,,,,
,,,,,,
160124,,,,,,
177,0:11:20,"Oh tape, yup sorry",,,,
178,0:11:22,Is the bear hugger on?,,,,
179,0:11:23,Yes,,,,
180,0:11:24,Yes,,,,
,,,,,,
,,,,,,
170516,,,,,,
46,(00:40:53),Alright you're being so brave. We're just taking off your dressings.,,,,
48,(00:40:58),I'm just taking this tape off sweetie.,,,,
49,(00:41:01),"It's just tape I'm taking off on your back, okay?",,,,
50,(00:41:09),"It's going to be a little weird because we're taking off all of your dressings, but you don't have to sit down against them, okay?",,,,
51,(00:41:25),"We're going to take this off your face, okay?",,,,
,,,,,,
,,,,,,
170448,,,,,,
86,(00:04:24),Can I put this on your face? Can I just put it right here?,,,,
,,,,,,
,,,,,,
170432,,,,,,
219,(00:12:50),You can take the bandage off the arm.,,,,
222,(00:13:01),We're just gonna take that bandaid off.,,,,
